시작에들어가는가상글입	시작에들어가는가상글/NNP
시간내	시간/NNB + 내/NNB
시간당	시간/NNB + 당/XSN
시간대	시간대/NNG
시간뒤	시간/NNB + 뒤/NNG
시간만	시간/NNB + 만/NNB
시간만	시간/NNB + 만/NNB
시간반	시간/NNB + 반/NNG
시간분	시간/NNB + 분/NNB
시간씩	시간/NNB + 씩/XSN
시간씩	시간/NNG + 씩/XSN
시간여	시간/NNB + 여/XSN
시간여	시간/NNG + 여/XSN
시간전	시간/NNB + 전/NNG
시간전	시간/NNB + 전/NNG
시간제	시간/NNG + 제/XSN
시간중	시간/NNB + 중/NNB
시간째	시간/NNG + 째/XSN
시간쯤	시간/NNB + 쯤/NNG
시경쯤	시/NNB + 경/XSN + 쯤/NNG
시그마	시그마/NNG
시뉴스	시/NNB + 뉴스/NNG
시리즈	시리즈/NNG
시반경	시/NNB + 반/NNG + 경/XSN
시반쯤	시/NNB + 반/NNG + 쯤/XSN
시방향	시/NNB + 방향/NNG
시이후	시/NNB + 이후/NNG
시즌간	시즌/NNG + 간/NNG
시출근	시/NNB + 출근/NNG
시현재	시/NNB + 현재/NNG
실링씩	실링/NNB + 씩/XSN
심무죄	심/NNG + 무/XPN + 죄/NNG
심법원	심/NNG + 법원/NNG
심재판	심/NNG + 재판/NNG
십만명	십만/NR + 명/NNB
쎈티씩	쎈티/NNB + 씩/XSN
아들네	아들/NNG + 네/XSN
아버지	아버지/NNG
아시안	아시안/NNG
아울렛	아울렛/NNG
아테네	아테네/NNP
안렌즈	안/NNG + 렌즈/NNG
야드선	야드/NNG + 선/NNG
야드쯤	야드/NNB + 쯤/XSN
야전군	야전군/NNG
약사제	약사/NNG + 제/XSN
양동이	양동이/NNG
양주류	양주/NNG + 류/XSN
양화점	양화점/NNG
억개비	억/NR + 개비/NNG
억달러	억/NR + 달러/NNB
억바트	억/NR + 바트/NNP
억불꼴	억/NR + 불/NNB + 꼴/XSN
억불씩	억/NR + 불/NNB + 씩/XSN
억불탑	억/NR + 불/NNB + 탑/NNG
억비트	억/NR + 비트/NNB
억어치	억/NR + 어치/NNG
억여명	억/NR + 여/XSN + 명/NNB
억여원	억/NR + 여/XSN + 원/NNB
억원당	억/NR + 원/NNB + 당/XSN
억원대	억/NR + 원/NNB + 대/XSN
억원선	억/NR + 원/NNB + 선/NNG
억원씩	억/NR + 원/NNB + 씩/XSN
억원중	억/NR + 원/NNB + 중/NNB
억원쯤	억/NR + 원/NNB + 쯤/XSN
억위안	억/NR + 위안/NNB
억짜리	억/NR + 짜리/XSN
억통화	억/NR + 통화/NNG
억투자	억/NR + 투자/NNG
언고시	언/NNG + 고시/NNG
언더파	언더/NNG + 파/NNG
언배율	언/NNG + 배율/NNG
언율시	언/NNG + 율시/NNG
언절구	언/NNG + 절구/NNG
에이커	에이커/NNB
엔짜리	엔/NNB + 짜리/XSN
여km	여/XSN + km/SL
여Km	여/XSN + Km/SL
여m씩	여/XSN + m/SL + 씩/XSN
여m쯤	여/XSN + m/SL + 쯤/XSN
여t씩	여/XSN + t/SL + 씩/XSN
여가구	여/XSN + 가구/NNG
여가지	여/XSN + 가지/NNB
여개국	여/XSN + 개국/NNB
여개뿐	여/XSN + 개/NNB + 뿐/NNB
여개사	여/XSN + 개/NNB + 사/NNG
여개소	여/XSN + 개소/NNB
여개월	여/XSN + 개월/NNB
여개인	여/XSN + 개인/NNG
여개층	여/XSN + 개/NNB + 층/NNG
여건씩	여/XSN + 건/NNB + 씩/XSN
여곳씩	여/XSN + 곳/NNG + 씩/XSN
여군데	여/XSN + 군데/NNB
여권중	여/XSN + 권/NNB + 중/NNB
여그루	여/XSN + 그루/NNB
여년간	여/XSN + 년/NNB + 간/NNG
여년만	여/XSN + 년/NNB + 만/NNB
여년씩	여/XSN + 년/NNB + 씩/XSN
여년전	여/XSN + 년/NNB + 전/NNG
여년째	여/XSN + 년/NNB + 째/XSN
여년후	여/XSN + 년/NNB + 후/NNG
여대쯤	여/XSN + 대/NNB + 쯤/XSN
여동생	여동생/NNG
여마리	여/XSN + 마리/NNB
여마일	여/XSN + 마일/NNG
여만개	여/XSN + 만/NR + 개/NNB
여만대	여/XSN + 만/NR + 대/NNB
여만명	여/XSN + 만/NR + 명/NNB
여만부	여/XSN + 만/NR + 부/NNB
여만원	여/XSN + 만/NR + 원/NNB
여만자	여/XSN + 만/NR + 자/NNG
여만장	여/XSN + 만/NR + 장/NNB
여만주	여/XSN + 만/NR + 주/NNG
여만평	여/XSN + 만/NR + 평/NNB
여명선	여/XSN + 명/NNB + 선/NNG
여명씩	여/XSN + 명/NNB + 씩/XSN
여명중	여/XSN + 명/NNB + 중/NNB
여분간	여/XSN + 분/NNB + 간/NNG
여분만	여/XSN + 분/NNB + 만/NNB
여분씩	여/XSN + 분/NNB + 씩/XSN
여분쯤	여/XSN + 분/NNB + 쯤/XSN
여시간	여/XSN + 시간/NNG
여억개	여/XSN + 억/NR + 개/NNB
여억원	여/XSN + 억/NR + 원/NNB
여업체	여/XSN + 업체/NNG
여일간	여/XSN + 일/NNB + 간/NNG
여일만	여/XSN + 일/NNB + 만/NNB
여점씩	여/XSN + 점/NNB + 씩/XSN
여차례	여/XSN + 차례/NNG
여초간	여/XSN + 초/NNB + 간/NNG
여톤씩	여/XSN + 톤/NNB + 씩/XSN
여통씩	여/XSN + 통/NNG + 씩/XSN
연대장	연대장/NNG
연락방	연락/NNG + 방/NNG
연승자	연승자/NNG
연승째	연승/NNG + 째/XSN
연타석	연타석/NNG
엿새날	엿새/NNG + 날/NNG
예닐곱	예닐곱/NR
오라비	오라비/NNG
오버파	오버/NNG + 파/NNG
오빠네	오빠/NNG + 네/XSN
올림픽	올림픽/NNG
외국어	외국어/NNG
운영계	운영/NNG + 계/XSN
원가량	원/NNB + 가량/NNG
원만큼	원/NNB + 만큼/JKB
원벌이	원/NNB + 벌이/NNG
원어찌	원/NNB + 어찌/NNB
원어치	원/NNB + 어치/NNG
원전략	원/NNG + 전략/NNG
원정도	원/NNB + 정도/NNG
원지폐	원/NNB + 지폐/NNG
원짜리	원/NNB + 짜리/XSN
元체제	元/SH + 체제/NNG
월결산	월/NNB + 결산/NNG
월공세	월/NNB + 공세/NNG
월관련	월/NNB + 관련/NNG
월구일	월/NNB + 구/NR + 일/NNB
월단체	월/NNB + 단체/NNG
월대선	월/NNB + 대선/NNG
월드컵	월드컵/NNG
월말경	월/NNB + 말/NNB + 경/XSN
월말경	월말/NNG + 경/XSN
월말께	월말/NNG + 께/XSN
월말쯤	월말/NNG + 쯤/XSN
월법인	월/NNB + 법인/NNG
월봉기	월/NNB + 봉기/NNG
월사이	월/NNB + 사이/NNG
월사태	월/NNB + 사태/NNG
월운동	월/NNB + 운동/NNG
월유신	월/NNB + 유신/NNG
月維新	月維新/SH
월이래	월/NNB + 이래/NNB
월이후	월/NNB + 이후/NNG
월중순	월/NNB + 중순/NNG
월초께	월/NNB + 초/NNB + 께/XSN
월초쯤	월/NNB + 초/NNB + 쯤/XSN
월총선	월/NNB + 총선/NNG
월투쟁	월/NNB + 투쟁/NNG
월하순	월/NNB + 하순/NNG
월항쟁	월/NNB + 항쟁/NNG
월혁명	월/NNB + 혁명/NNG
월현재	월/NNB + 현재/NNG
월협상	월/NNB + 협상/NNG
위권내	위/NNB + 권/XSN + 내/NNG
위끼리	위/NNB + 끼리/XSN
위수상	위/NNB + 수상/NNG
위안씩	위안/NNB + 씩/XSN
위원회	위원회/NNG
위입상	위/NNB + 입상/NNG
위자리	위/NNB + 자리/NNG
위종목	위/NNB + 종목/NNG
위차지	위/NNB + 차지/NNG
육십오	육십오/NR
음보격	음보/NNG + 격/NNB
음음악	음/NNG + 음악/NNG
音音樂	音音樂/SH
이년도	이/NR + 년도/NNB
이모님	이모/NNG + 님/XSN
이백만	이백/NR + 만/NR
이십년	이십/NR + 년/NNB
이튿날	이튿날/NNG
인1실	인/NNG + 1/SN + 실/NNG
인1조	인/NNG + 1/SN + 조/NNG
인2역	인/NNG + 2/SN + 역/NNG
인가구	인/NNG + 가구/NNG
인가족	인/NNG + 가족/NNG
인그룹	인/NNG + 그룹/NNG
인사색	인/NNG + 사색/NNG
인세트	인/NNG + 세트/NNG
인소위	인/NNG + 소위/NNG
인승무	인/NNG + 승무/NNG
인시위	인/NNG + 시위/NNG
인위원	인/NNG + 위원/NNG
인이상	인/NNG + 이상/NNG
인지배	인/NNG + 지배/NNG
인치대	인치/NNB + 대/XSN
인치형	인치/NNB + 형/XSN
인특위	인/NNG + 특위/NNG
일간씩	일/NNB + 간/NNG + 씩/XSN
일경기	일/NNB + 경기/NNG
일계획	일/NNB + 계획/NNG
일기도	일/NNB + 기도/NNG
일동안	일/NNB + 동안/NNG
일무공	일/NNB + 무공/NNP
일미국	일/NNB + 미국/NNP
일부터	일/NNB + 부터/JKB
일불공	일/NNB + 불공/NNG
일사이	일/NR + 사이/NNG
일새벽	일/NNB + 새벽/NNG
일신행	일/NNB + 신행/NNG
일오전	일/NNB + 오전/NNG
일오후	일/NNB + 오후/NNG
일유가	일/NNB + 유가/NNG
일이내	일/NNB + 이내/NNG
일일정	일/NNB + 일정/NNG
일입주	일/NNB + 입주/NNG
일작전	일/NNB + 작전/NNG
일전쟁	일/NNB + 전쟁/NNG
일전쯤	일/NNB + 전/NNG + 쯤/XSN
일전후	일/NNB + 전후/NNG
일정도	일/NNB + 정도/NNG
일짜리	일/NNB + 짜리/XSN
일째쯤	일/NNB + 째/XSN + 쯤/XSN
자개입	자/NNB + 개입/NNG
자관계	자/NNB + 관계/NNG
자대결	자/NNG + 대결/NNG
자리수	자리/NNG + 수/NNG
자연대	자연대/NNG
자인수	자/NNG + 인수/NNG
자제분	자제/NNG + 분/NNB
자주의	자/NNB + 주의/NNG
자주의	자/NNG + 주의/NNG
자짜리	자/NNB + 짜리/XSN
자책점	자책점/NNG
자토론	자/NNG + 토론/NNG
자회담	자/NNB + 회담/NNG
자회동	자/NNG + 회동/NNG
작품당	작품/NNG + 당/XSN
장관실	장관실/NNG
장수사	장/NNG + 수사/NNG
장짜리	장/NNB + 짜리/XSN
전대회	전대회/NNG
전시관	전시관/NNG
전시실	전시실/NNG
전전승	전/NNG + 전승/NNG
전짜리	전/NNB + 짜리/XSN
전짜리	전/NNG + 짜리/XSN
점대별	점/NNB + 대/XSN + 별/XSN
점라인	점/NNB + 라인/NNG
점슛왕	점/NNB + 슛/NNG + 왕/NNG
점이상	점/NNB + 이상/NNG
점일기	점/NNG + 일기/NNG
점짜리	점/NNB + 짜리/XSN
점홈런	점/NNB + 홈런/NNG
정비창	정비창/NNG
조1항	조/NNB + 1/SN + 항/NNG
조달러	조/NR + 달러/NNB
조어치	조/NR + 어치/NNG
조원대	조/NR + 원/NNB + 대/XSN
조원선	조/NR + 원/NNB + 선/NNG
조원씩	조/NR + 원/NNB + 씩/XSN
조정관	조정관/NNG
조투입	조/NR + 투입/NNG
족협화	족/NNG + 협화/NNG
종경기	종/NNG + 경기/NNG
종면허	종/NNG + 면허/NNG
종정도	종/NNG + 정도/NNG
종진단	종/NNG + 진단/NNG
종채권	종/NNG + 채권/NNG
주가량	주/NNB + 가량/NNG
주년쯤	주년/NNB + 쯤/XSN
주동안	주/NNB + 동안/NNG
주비전	주비전/NNG
주야여	주야/NNG + 여/XSN
주연속	주/NNB + 연속/NNG
주일간	주일/NNB + 간/NNG
주일경	주일/NNB + 경/XSN
주일만	주일/NNB + 만/NNB
주일새	주일/NNB + 새/NNG
주일씩	주일/NNB + 씩/XSN
주일여	주일/NNB + 여/XSN
주일전	주일/NNB + 전/NNG
주일째	주일/NNB + 째/XSN
주일쯤	주일/NNB + 쯤/XSN
주일후	주일/NNB + 후/NNG
주택자	주택자/NNG
주훈련	주/NNB + 훈련/NNG
중거주	중/NNG + 거주/NNG
중구조	중/NNG + 구조/NNG
중국적	중국적/NNG
중기단	중/NNG + 기단/NNG
중대내	중대/NNG + 내/NNB
중대장	중대장/NNG
중밑창	중/NNG + 밑창/NNG
중전회	중전회/NNG
中全會	中全會/SH
중주단	중주단/NNG
중청구	중/NNG + 청구/NNG
중학교	중학교/NNG
중화산	중/NNG + 화산/NNG
진장치	진/NNG + 장치/NNG
집단씩	집단/NNG + 씩/XSN
집반승	집/NNG + 반/NNG + 승/NNG
집음반	집/NNB + 음반/NNG
짝창호	짝/NNG + 창호/NNG
쪽짜리	쪽/NNG + 짜리/XSN
차계획	차/NNB + 계획/NNG
차고객	차/NNB + 고객/NNG
차공사	차/NNB + 공사/NNG
차공천	차/NNB + 공천/NNG
차공판	차/NNB + 공판/NNG
차관보	차관보/NNG
차교섭	차/NNB + 교섭/NNG
차기소	차/NNB + 기소/NNG
차년도	차/NNB + 년도/NNB
차대전	차/NNB + 대전/NNG
차대회	차/NNB + 대회/NNG
차례씩	차례/NNG + 씩/XSN
차리그	차/NNB + 리그/NNG
차명단	차/NNB + 명단/NNG
차모임	차/NNB + 모임/NNG
차물량	차/NNB + 물량/NNG
차방어	차/NNB + 방어/NNG
차범행	차/NNB + 범행/NNG
차병원	차/NNB + 병원/NNG
차부도	차/NNB + 부도/NNG
차산업	차/NNB + 산업/NNG
차산품	차/NNB + 산품/NNG
차상품	차/NNB + 상품/NNG
차선씩	차선/NNG + 씩/XSN
차성징	차/NNB + 성징/NNG
차수사	차/NNB + 수사/NNG
차시험	차/NNB + 시험/NNG
차신경	차/NNB + 신경/NNG
차업체	차/NNB + 업체/NNG
차예심	차/NNB + 예심/NNG
차원적	차원/NNG + 적/XSN
차자료	차/NNB + 자료/NNG
차장보	차장보/NNG
차장직	차장/NNG + 직/NNG
차조사	차/NNB + 조사/NNG
次集團	次集團/SH
차침공	차/NNB + 침공/NNG
차투표	차/NNB + 투표/NNG
차협상	차/NNB + 협상/NNG
차협의	차/NNB + 협의/NNG
차회담	차/NNB + 회담/NNG
차회의	차/NNB + 회의/NNG
차후보	차/NNB + 후보/NNG
척장신	척/NNB + 장신/NNG
천Bq	천/NR + Bq/SL
천cc	천/NR + cc/SL
천kg	천/NR + kg/SL
천km	천/NR + km/SL
千km	千/SH + km/SL
천t급	천/NR + t/SL + 급/NNG
천가구	천/NR + 가구/NNG
천개소	천/NR + 개소/NNB
천그루	천/NR + 그루/NNB
천년간	천년간/NNG
천년경	천/NR + 년/NNB + 경/XSN
천년대	천/NR + 년/NNB + 대/XSN
천년전	천/NR + 년/NNB + 전/NNG
千年前	千年前/SH
천달러	천/NR + 달러/NNB
천돈쭝	천/NR + 돈쭝/NNB
천루블	천/NR + 루블/NNG
천리엘	천/NR + 리엘/NNB
천마일	천/NR + 마일/NNB
천만t	천만/NR + t/SL
천만개	천만/NR + 개/NNB
천만년	천만/NR + 년/NNB
천만단	천만/NR + 단/NNG
천만대	천만대/NNG
천만동	천만/NR + 동/NNB
천만명	천만/NR + 명/NNB
천만부	천만/NR + 부/NNB
천만분	천만/NR + 분/NNG
천만불	천만/NR + 불/NNB
천만엔	천만/NR + 엔/NNB
천만여	천만/NR + 여/XSN
천만원	천만/NR + 원/NNB
천만인	천만/NR + 인/NNG
천명선	천/NR + 명/NNB + 선/NNG
천명씩	천/NR + 명/NNB + 씩/XSN
천명쯤	천/NR + 명/NNB + 쯤/NNG
천미터	천/NR + 미터/NNB
천박스	천/NR + 박스/NNG
천세대	천/NR + 세대/NNG
천송이	천/NR + 송이/NNG
천시간	천/NR + 시간/NNG
천억대	천억/NR + 대/XSN
천억만	천/NR + 억만/NR
천억설	천억/NR + 설/NNG
천억여	천억/NR + 여/XSN
천억원	천억/NR + 원/NNB
천엔씩	천/NR + 엔/NNB + 씩/XSN
천여t	천/NR + 여/XSN + t/SL
천여개	천/NR + 여/XSN + 개/NNB
천여건	천/NR + 여/XSN + 건/NNB
천여곳	천/NR + 여/XSN + 곳/NNG
천여권	천/NR + 여/XSN + 권/NNB
천여년	천/NR + 여/XSN + 년/NNB
천여대	천/NR + 여/XSN + 대/NNB
천여만	천/NR + 여/XSN + 만/NR
천여명	천/NR + 여/XSN + 명/NNB
천여병	천/NR + 여/XSN + 병/NNG
천여억	천/NR + 여/XSN + 억/NR
천여원	천/NR + 여/XSN + 원/NNB
천여장	천/NR + 여/XSN + 장/NNB
천여점	천/NR + 여/XSN + 점/NNB
천여종	천/NR + 여/XSN + 종/NNG
천여주	천/NR + 여/XSN + 주/NNG
천여채	천/NR + 여/XSN + 채/NNB
천여척	천/NR + 여/XSN + 척/NNB
천여통	천/NR + 여/XSN + 통/NNB
천여평	천/NR + 여/XSN + 평/NNB
천원권	천원권/NNG
천원꼴	천/NR + 원/NNB + 꼴/XSN
천원대	천/NR + 원/NNB + 대/XSN
천원선	천/NR + 원/NNB + 선/NNG
천원씩	천/NR + 원/NNB + 씩/XSN
천위안	천/NR + 위안/NNB
천촉광	천/NR + 촉광/NNG
천축국	천축국/NNG
천킬로	천/NR + 킬로/NNB
천피트	천/NR + 피트/NNB
첩반상	첩/NNB + 반상/NNG
체육관	체육관/NNG
체제안	체제/NNG + 안/NNG
초동안	초/NNB + 동안/NNG
초짜리	초/NNB + 짜리/XSN
초짜리	초/NNB + 짜리/XSN
촉짜리	촉/NNB + 짜리/XSN
촌당숙	촌/NNG + 당숙/NNG
촌이내	촌/NNB + 이내/NNG
층공간	층/NNG + 공간/NNG
층구조	층/NNG + 구조/NNG
층기단	층/NNG + 기단/NNG
층당사	층/NNG + 당사/NNG
층만층	층/NNG + 만/NR + 층/NNG
층모델	층/NNG + 모델/NNG
층목탑	층/NNG + 목탑/NNG
층바닥	층/NNG + 바닥/NNG
층바닥	층/XSN + 바닥/NNG
층서재	층/NNG + 서재/NNG
층석탑	층/NNG + 석탑/NNG
층석탑	층/NNG + 석탑/NNG
층장롱	층/NNG + 장롱/NNG
층전탑	층/NNG + 전탑/NNG
층짜리	층/NNG + 짜리/XSN
층탑신	층/NNG + 탑신/NNG
칙연산	칙/NNG + 연산/NNG
칸짜리	칸/NNG + 짜리/XSN
캐러츠	캐러츠/NNG
캐럿대	캐럿/NNG + 대/XSN
커트씩	커트/NNG + 씩/XSN
컴퓨터	컴퓨터/NNG
컷짜리	컷/NNG + 짜리/XSN
켤레씩	켤레/NNB + 씩/XSN
쿠데타	쿠데타/NNG
킬로씩	킬로/NNB + 씩/XSN
킬로쯤	킬로/NNB + 쯤/XSN
타석째	타석/NNG + 째/XSN
타수째	타수/NNG + 째/XSN
탈삼진	탈삼진/NNG
태양년	태양년/NNG
태음월	태음월/NNG
톤짜리	톤/NNB + 짜리/XSN
통협정	통/NNG + 협정/NNG
통화당	통화/NNG + 당/XSN
투표구	투표구/NNG
투표권	투표/NNG + 권/XSN
투표소	투표소/NNG
특별부	특별/NNG + 부/NNG
파운드	파운드/NNB
파출소	파출소/NNG
팔백원	팔백/NR + 원/NNB
팔참회	팔/NR + 참회/NNG
퍼센트	퍼센트/NNB
퍼센트	퍼센트/NNG
페이지	페이지/NNG
평가량	평/NNB + 가량/NNG
평방m	평방/NNG + m/SL
평이상	평/NNB + 이상/NNG
평짜리	평/NNB + 짜리/XSN
평크기	평/NNB + 크기/NNG
평형B	평/NNB + 형/XSN + B/SL
평형C	평/NNB + 형/XSN + C/SL
평형대	평/NNB + 형/XSN + 대/XSN
포기당	포기/NNG + 당/XSN
포인트	포인트/NNG
폭병풍	폭/NNG + 병풍/NNG
폭짜리	폭/NNG + 짜리/XSN
품종명	품종명/NNG
프랑씩	프랑/NNB + 씩/XSN
프레임	프레임/NNG
피고인	피고인/NNG
학급씩	학급/NNG + 씩/XSN
학기때	학기/NNG + 때/NNG
학기말	학기/NNG + 말/NNB
학기제	학기/NNG + 제/XSN
학기중	학기/NNG + 중/NNB
학기째	학기/NNG + 째/XSN
학기초	학기/NNG + 초/NNB
학년도	학년/NNG + 도/NNB
학년때	학년/NNG + 때/NNG
학년말	학년/NNG + 말/NNB
학년생	학년/NNG + 생/XSN
학년용	학년/NNG + 용/XSN
학년제	학년/NNG + 제/XSN
학년짜	학년/NNG + 짜리/XSN +
학년쯤	학년/NNG + 쯤/XSN
학년초	학년/NNG + 초/NNB
학점분	학점/NNG + 분/XSN
한강교	한강교/NNG
할가량	할/NNB + 가량/NNG
할정도	할/NNB + 정도/NNG
항공대	항공대/NNP
항술어	항/NNG + 술어/NNG
항아리	항아리/NNG
행정관	행정관/NNG
행정리	행정리/NNG
헤르츠	헤르츠/NNB
협력관	협력관/NNG
형님댁	형/NNG + 님/XSN + 댁/NNG
형사부	형사부/NNG
호궁전	호/NNB + 궁전/NNG
호문지	호/NNB + 문지/NNG
호법정	호/NNB + 법정/NNG
호선역	호/NNB + 선/NNG + 역/NNG
호선중	호/NNB + 선/NNG + 중/NNB
호열차	호/NNB + 열차/NNG
호위성	호/NNB + 위성/NNG
호정문	호/NNB + 정문/NNG
호집터	호/NNB + 집터/NNG
호짜리	호/NNB + 짜리/XSN
홀짜리	홀/NNG + 짜리/XSN
홉들이	홉/NNB + 들이/XSN
환짜리	환/NNB + 짜리/XSN
회가량	회/NNB + 가량/NNG
회대회	회/NNB + 대회/NNG
회연장	회/NNB + 연장/NNG
회용품	회/NNB + 용품/NNG
회우승	회/NNB + 우승/NNG
훈련소	훈련소/NNG
A형	A/SL + 형/XSN
BB	BB/SL
Bq	Bq/SL
cc	cc/SL
Ci	Ci/SL
cm	cm/SL
Cm	Cm/SL
DM	DM/SL
DO	DO/SL
FM	FM/SL
Ft	Ft/SL
Ga	Ga/SL
GB	GB/SL
g값	g/SL + 값/NNG
g당	g/SL + 당/XSN
g대	g/SL + 대/NNG
g씩	g/SL + 씩/XSN
ha	ha/SL
Ha	Ha/SL
HU	HU/SL
Hz	Hz/SL
IU	IU/SL
KB	KB/SL
kg	kg/SL
Kg	Kg/SL
km	km/SL
Km	Km/SL
km	km/SL
Km	Km/SL
KO	KO/SL
KW	KW/SL
kW	kW/SL
K씨	K/SL + 씨/NNB
L당	L/SL + 당/XSN
m2	m/SL + 2/SN
m4	m/SL + 4/SN
MB	MB/SL
mg	mg/SL
ml	ml/SL
mL	mL/SL
mm	m/SL + m/SL
mm	mm/SL
Mt	Mt/SL
m당	m/SL + 당/NNG
m당	m/SL + 당/XSN
M등	M/SL + 등/NNB
m씩	m/SL + 씩/XSN
m쯤	m/SL + 쯤/NNG
m쯤	m/SL + 쯤/XSN
Na	Na/SL
ND	ND/SL
nm	nm/SL
OM	OM/SL
pg	pg/SL
rd	rd/SL
th	th/SL
tv	tv/SL
TV	TV/SL
t급	t/SL + 급/NNG
t씩	t/SL + 씩/XSN
t중	t/SL + 중/NNB
UP	UP/SL
uV	uV/SL
WD	WD/SL
가구	가구/NNG
가닥	가닥/NNG
가동	가동/NNG
가량	가량/NNG
가례	가례/NNG
가마	가마/NNG
가방	가방/NNG
가사	가사/NNG
가족	가족/NNG
가지	가지/NNB
각도	각/NNG + 도/NNG
각형	각/NNG + 형/XSN
각형	각형/NNG
간반	간/NNB + 반/NNG
간방	간/NNB + 방/NNG
간씩	간/NNB + 씩/XSN
간씩	간/NNG + 씩/XSN
간지	간지/NNG
간집	간/NNB + 집/NNG
간통	간통/NNB
간폭	간/NNB + 폭/NNG
갈래	갈래/NNG
감각	감각/NNG
갑씩	갑/NNG + 씩/XSN
갑자	갑자/NNG
강국	강국/NNG
강때	강/NNG + 때/NNG
강전	강전/NNG
강전	강/NNG + 전/NNG
강좌	강좌/NNG
강팀	강팀/NNG
강행	강/NNG + 행/NNG
강행	강행/NNG
개공	개/NNB + 공/NNG
개과	개과/NNG
개과	개/NNB + 과/NNG
개관	개/NNB + 관/NNG
개교	개/NNB + 교/NNG
개구	개/NNB + 구/NNG
개국	개국/NNB
個國	個國/SH
개군	개/NNB + 군/NNB
개군	개/NNB + 군/NNG
개권	개/NNB + 권/XSN
개급	개/NNB + 급/NNG
개꼴	개/NNB + 꼴/XSN
개년	개년/NNB
個年	個年/SH
개당	개/NNB + 당/XSN
개대	개/NNB + 대/NNG
개도	개/NNB + 도/NNG
개동	개/NNB + 동/NNG
개면	개/NNB + 면/NNG
개반	개/NNB + 반/NNG
개발	개발/NNG
개법	개/NNB + 법/NNG
개부	개/NNB + 부/NNG
개붤	개월/NNB
개비	개비/NNG
개뿐	개/NNB + 뿐/NNB
개사	개/NNB + 사/NNG
개社	개/NNB + 社/SH
개석	개/NNB + 석/NNG
개성	개/NNB + 성/NNG
개소	개소/NNB
개시	개/NNB + 시/NNG
개씩	개/NNB + 씩/XSN
개안	개/NNB + 안/NNG
개어	개/NNB + 어/NNG
개역	개/NNB + 역/NNG
개월	개월/NNB
개은	개/NNB + 은/NNG
개장	개/NNB + 장/NNG
개점	개/NNB + 점/NNG
개조	개/NNB + 조/NNB
개주	개/NNB + 주/NNG
개중	개/NNB + 중/NNB
개지	개지/NNG
개째	개/NNB + 째/XSN
개쯤	개/NNB + 쯤/XSN
개체	개체/NNG
개층	개/NNB + 층/NNG
개통	개/NNB + 통/NNG
개팀	개/NNB + 팀/NNG
개피	개피/NNG
개항	개/NNB + 항/NNG
개현	개/NNB + 현/NNG
개縣	개/NNB + 縣/SH
개홀	개/NNB + 홀/NNG
갤런	갤런/NNB
거두	거두/NNG
거리	거리/NNB
거리	거리/NNG
건당	건/NNB + 당/XSN
건씩	건/NNB + 씩/XSN
걸음	걸음/NNG
게임	게임/NNG
결당	결/NNB + 당/XSN
결씩	결/NNB + 씩/XSN
겹집	겹집/NNG
경기	경기/NNG
경비	경비/NNG
경제	경제/NNG
經濟	經濟/SH
계급	계급/NNG
계단	계단/NNG
계명	계명/NNG
계약	계약/NNG
계장	계장/NNG
계절	계절/NNG
계좌	계좌/NNG
계층	계층/NNG
고개	고개/NNG
고령	고령/NNG
고모	고모/NNG
고주	고주/NNG
고지	고지/NNG
고희	고희/NNG
골씩	골/NNG + 씩/XSN
골차	골/NNG + 차/NNG
곳당	곳/NNG + 당/XSN
곳뿐	곳/NNG + 뿐/NNB
곳중	곳/NNG + 중/NNB
공공	공/NR + 공/NR
공구	공구/NNG
공기	공기/NNG
공단	공단/NNG
공도	공도/NNG
공때	공/NNG + 때/NNG
공사	공사/NNG
공수	공수/NNG
공시	공/NNG + 시/NNB
공식	공식/NNG
공역	공/NNG + 역/NNG
공영	공영/NNG
공장	공장/NNG
공주	공주/NNG
공초	공/NNG + 초/NNB
공탄	공탄/NNG
과목	과목/NNG
과장	과장/NNG
과제	과제/NNG
관당	관/NNB + 당/XSN
관문	관문/NNG
관왕	관왕/NNG
광년	광년/NNB
교대	교대/NNG
교시	교시/NNB
교실	교실/NNG
교회	교회/NNG
구간	구간/NNG
구경	구경/NNG
구년	구/NR + 년/NNB
구분	구분/NNG
구비	구비/NNG
구씩	구/NNB + 씩/XSN
구씩	구/NNG + 씩/XSN
구역	구역/NNG
구절	구절/NNG
구째	구/NNG + 째/XSN
구체	구/NNG + 체/NNG
국가	국가/NNG
국간	국/NNG + 간/NNB
國間	國間/SH
국당	국/NNG + 당/XSN
국민	국민/NNG
국사	국사/NNG
국산	국산/NNG
국장	국장/NNG
국제	국제/NNG
국행	국행/NNG
군단	군단/NNG
군데	군데/NNB
군현	군현/NNG
굴덴	굴덴/NNG
굽이	굽이/NNG
궁전	궁전/NNG
권값	권/NNB + 값/NNG
권당	권/NNB + 당/XSN
권씩	권/NNB + 씩/XSN
권역	권역/NNG
권중	권/NNB + 중/NNB
권째	권/NNB + 째/XSN
권쯤	권/NNB + 쯤/XSN
귀절	귀절/NNG
그램	그램/NNB
그램	그램/NNG
그루	그루/NNB
그룹	그룹/NNG
그릇	그릇/NNG
극간	극간/NNG
글자	글자/NNG
금융	금융/NNG
급수	급수/NNG
급지	급지/NNG
기가	기가/NNB
기갑	기갑/NNG
기관	기관/NNG
기당	기/NNB + 당/XSN
기록	기록/NNG
